Fecha; FondoA; FondoB; FondoC; FondoD; FondoE;
20-Jul-2020;49.640,21;44.114,46;52.071,58;40.199,31;49.021,09;
19-Jul-2020;49.615,14;44.180,83;52.305,95;40.491,82;49.448,57;
18-Jul-2020;49.615,14;44.180,83;52.305,95;40.491,82;49.448,57;
17-Jul-2020;49.615,14;44.180,83;52.305,95;40.491,82;49.448,57;
16-Jul-2020;49.797,73;44.342,70;52.544,55;40.677,80;49.666,24;
15-Jul-2020;49.797,73;44.342,70;52.544,55;40.677,80;49.666,24;
14-Jul-2020;49.714,76;44.290,30;52.524,93;40.641,41;49.605,87;
13-Jul-2020;49.814,42;44.348,13;52.609,35;40.728,99;49.707,43;
12-Jul-2020;49.357,76;44.086,96;52.461,68;40.718,26;49.775,53;
11-Jul-2020;49.357,76;44.086,96;52.461,68;40.718,26;49.775,53;
10-Jul-2020;49.357,76;44.086,96;52.461,68;40.718,26;49.775,53;
09-Jul-2020;49.719,39;44.393,13;52.845,48;41.068,10;50.181,30;
08-Jul-2020;49.916,55;44.481,46;52.830,46;40.933,40;49.983,74;
07-Jul-2020;50.310,55;44.710,21;52.876,86;40.872,01;49.863,95;
06-Jul-2020;49.697,09;44.259,32;52.477,44;40.627,50;49.652,20;
05-Jul-2020;49.402,41;44.083,55;52.305,54;40.577,55;49.647,29;
04-Jul-2020;49.402,41;44.083,55;52.305,54;40.577,55;49.647,29;
03-Jul-2020;49.402,41;44.083,55;52.305,54;40.577,55;49.647,29;
02-Jul-2020;49.297,40;43.985,61;52.277,18;40.623,81;49.714,15;
01-Jul-2020;49.184,41;43.883,00;52.176,86;40.540,21;49.620,77;
30-Jun-2020;48.844,88;43.675,68;52.083,95;40.555,98;49.701,05;
29-Jun-2020;48.936,95;43.746,65;52.219,88;40.663,80;49.802,18;
28-Jun-2020;48.936,95;43.746,65;52.219,88;40.663,80;49.802,18;
27-Jun-2020;48.936,95;43.746,65;52.219,88;40.663,80;49.802,18;
26-Jun-2020;48.936,95;43.746,65;52.219,88;40.663,80;49.802,18;
25-Jun-2020;49.162,44;43.890,38;52.326,05;40.660,51;49.709,63;
24-Jun-2020;49.441,24;44.067,36;52.452,24;40.750,71;49.752,57;
23-Jun-2020;49.116,62;43.828,08;52.210,72;40.611,04;49.678,33;
22-Jun-2020;49.086,27;43.829,62;52.331,43;40.768,59;49.854,94;
21-Jun-2020;48.800,60;43.561,73;51.834,49;40.325,61;49.350,24;
20-Jun-2020;48.800,60;43.561,73;51.834,49;40.325,61;49.350,24;
19-Jun-2020;48.800,60;43.561,73;51.834,49;40.325,61;49.350,24;
18-Jun-2020;48.150,78;43.070,53;51.252,10;39.890,23;48.944,83;
17-Jun-2020;47.155,27;42.403,44;50.649,43;39.595,68;48.803,48;
16-Jun-2020;47.323,16;42.507,09;50.785,97;39.711,43;48.928,98;
15-Jun-2020;47.242,81;42.463,02;50.792,94;39.719,38;48.931,63;
14-Jun-2020;46.917,55;42.270,96;50.770,73;39.740,48;48.992,98;
13-Jun-2020;46.917,55;42.270,96;50.770,73;39.740,48;48.992,98;
12-Jun-2020;46.917,55;42.270,96;50.770,73;39.740,48;48.992,98;
11-Jun-2020;47.464,93;42.630,07;50.950,65;39.814,93;49.012,47;
10-Jun-2020;47.882,49;42.828,51;50.812,17;39.525,15;48.645,10;
09-Jun-2020;47.913,60;42.842,83;50.752,10;39.467,51;48.572,29;
08-Jun-2020;47.249,70;42.460,71;50.620,64;39.558,63;48.814,83;
07-Jun-2020;46.884,27;42.237,22;50.654,65;39.736,33;49.094,49;
06-Jun-2020;46.884,27;42.237,22;50.654,65;39.736,33;49.094,49;
05-Jun-2020;46.884,27;42.237,22;50.654,65;39.736,33;49.094,49;
04-Jun-2020;46.540,31;42.074,73;50.678,65;39.937,96;49.404,34;
03-Jun-2020;46.418,88;41.997,45;50.825,08;40.120,52;49.650,69;
02-Jun-2020;46.218,13;41.847,95;50.768,81;40.145,18;49.757,93;
01-Jun-2020;46.198,75;41.822,39;50.734,19;40.128,91;49.736,45;
31-May-2020;46.467,22;41.983,54;50.777,35;40.070,48;49.640,42;
30-May-2020;46.467,22;41.983,54;50.777,35;40.070,48;49.640,42;
29-May-2020;46.467,22;41.983,54;50.777,35;40.070,48;49.640,42;
28-May-2020;46.640,24;42.041,23;50.551,20;39.725,25;49.185,98;
27-May-2020;45.871,14;41.646,19;50.598,22;40.096,99;49.785,76;
26-May-2020;45.398,42;41.369,90;50.520,44;40.176,99;50.011,51;
25-May-2020;45.229,66;41.232,69;50.360,09;40.048,58;49.891,48;
24-May-2020;45.378,38;41.310,72;50.179,89;39.744,81;49.524,80;
23-May-2020;45.378,38;41.310,72;50.179,89;39.744,81;49.524,80;
22-May-2020;45.378,38;41.310,72;50.179,89;39.744,81;49.524,80;
21-May-2020;45.753,67;41.487,26;50.229,47;39.643,25;49.373,95;
20-May-2020;45.753,67;41.487,26;50.229,47;39.643,25;49.373,95;
19-May-2020;45.743,35;41.410,07;50.048,26;39.500,92;49.236,73;
18-May-2020;44.966,97;40.858,42;49.515,61;39.176,59;48.992,78;
17-May-2020;44.737,67;40.670,45;49.346,47;39.068,23;48.917,26;
16-May-2020;44.737,67;40.670,45;49.346,47;39.068,23;48.917,26;
15-May-2020;44.737,67;40.670,45;49.346,47;39.068,23;48.917,26;
14-May-2020;44.801,50;40.717,33;49.397,21;39.063,23;48.870,09;
13-May-2020;45.447,67;41.155,38;49.660,68;39.128,44;48.876,72;
12-May-2020;45.831,84;41.338,65;49.638,71;38.990,71;48.687,18;
11-May-2020;46.077,76;41.474,65;49.604,96;38.831,84;48.476,18;
10-May-2020;46.126,85;41.492,57;49.540,21;38.714,80;48.347,52;
09-May-2020;46.126,85;41.492,57;49.540,21;38.714,80;48.347,52;
08-May-2020;46.126,85;41.492,57;49.540,21;38.714,80;48.347,52;
07-May-2020;45.986,80;41.371,92;49.428,58;38.643,97;48.251,85;
06-May-2020;45.746,08;41.192,97;49.252,85;38.566,82;48.208,89;
05-May-2020;45.616,60;41.059,72;49.111,83;38.451,17;48.117,78;
04-May-2020;46.095,81;41.447,92;49.386,18;38.495,40;48.079,27;
03-May-2020;46.738,16;41.739,62;49.442,41;38.431,37;47.913,89;
02-May-2020;46.738,16;41.739,62;49.442,41;38.431,37;47.913,89;
01-May-2020;46.738,16;41.739,62;49.442,41;38.431,37;47.913,89;
30-Abr-2020;46.738,16;41.739,62;49.442,41;38.431,37;47.913,89;
29-Abr-2020;46.566,92;41.579,22;49.328,53;38.340,79;47.847,76;
28-Abr-2020;46.365,33;41.421,91;49.179,82;38.235,80;47.771,62;
27-Abr-2020;45.820,39;41.021,32;48.783,58;37.986,65;47.568,32;
26-Abr-2020;46.031,00;41.163,94;48.858,89;37.968,15;47.452,66;
25-Abr-2020;46.031,00;41.163,94;48.858,89;37.968,15;47.452,66;
24-Abr-2020;46.031,00;41.163,94;48.858,89;37.968,15;47.452,66;
23-Abr-2020;45.879,79;41.021,82;48.659,28;37.823,02;47.293,12;
22-Abr-2020;45.670,38;40.850,59;48.532,32;37.709,55;47.216,07;
21-Abr-2020;46.237,98;41.288,27;48.791,45;37.786,58;47.217,02;
20-Abr-2020;46.448,19;41.385,60;48.825,71;37.766,48;47.172,72;
19-Abr-2020;45.875,74;40.961,81;48.474,93;37.551,29;47.012,18;
18-Abr-2020;45.875,74;40.961,81;48.474,93;37.551,29;47.012,18;
17-Abr-2020;45.875,74;40.961,81;48.474,93;37.551,29;47.012,18;
16-Abr-2020;46.063,64;41.088,04;48.561,31;37.574,88;47.042,27;
15-Abr-2020;46.228,76;41.206,87;48.564,41;37.527,21;46.995,60;
14-Abr-2020;45.418,66;40.618,85;48.093,78;37.297,23;46.897,10;
13-Abr-2020;45.172,80;40.418,67;47.828,33;37.132,70;46.783,93;
12-Abr-2020;45.089,08;40.228,03;47.480,23;36.744,08;46.338,52;
11-Abr-2020;45.089,08;40.228,03;47.480,23;36.744,08;46.338,52;
10-Abr-2020;45.089,08;40.228,03;47.480,23;36.744,08;46.338,52;
